timestamp,symbol,side,amount,price,reason,status,pnl
2025-11-22T05:30:25.918281,FET/USDT,buy,9638.0,0.2743,EXIT_DYNAMIC_SCALP (RSI 23.5),FILLED,43.37100000000004
2025-11-22T05:32:11.619309,ARB/USDT,sell,13298.337555768256,0.1972,SHORT_REVERSAL_SNIPER,FILLED,0.0
2025-11-22T05:32:22.844245,FLOW/USDT,sell,552.1121259603004,0.233,SHORT_SQUEEZE_BREAKOUT,FILLED,0.0
2025-11-22T05:32:32.784466,1000FLOKI/USDT,sell,4342.431418651235,0.04493,SHORT_MOMENTUM_PUSH,FILLED,0.0
2025-11-22T05:32:42.682119,CHZ/USDT,sell,1200.5611302727273,0.0275,SHORT_MOMENTUM_PUSH,FILLED,0.0
2025-11-22T05:32:52.325471,1000PEPE/USDT,sell,10580.478981217844,0.0040038,SHORT_SQUEEZE_BREAKOUT,FILLED,0.0
2025-11-22T05:33:20.035941,LINK/USDT,sell,0.44519968825495887,11.797,SHORT_BREAKOUT_DONCHIAN,FILLED,0.0
2025-11-22T05:33:54.536153,FET/USDT,sell,433.2441068697402,0.2733,SHORT_BREAKOUT_DONCHIAN,FILLED,0.0
2025-11-22T05:33:54.849939,FLOW/USDT,buy,552.1,0.233,ROTATION_SACRIFICE,FILLED,0.0
2025-11-22T05:33:55.204949,XTZ/USDT,sell,244.6396991890496,0.484,SHORT_BREAKOUT_DONCHIAN,FILLED,0.0
2025-11-22T05:33:55.525740,1000FLOKI/USDT,buy,4342.0,0.04483,ROTATION_SACRIFICE,FILLED,0.0
2025-11-22T05:33:55.838238,MANA/USDT,sell,732.708009947401,0.1616,SHORT_SQUEEZE_BREAKOUT,FILLED,0.0
2025-11-22T05:33:56.155113,CHZ/USDT,buy,1200.0,0.02749,ROTATION_SACRIFICE,FILLED,0.0
2025-11-22T05:33:56.464850,SEI/USDT,sell,906.6279816807045,0.1306,SHORT_SQUEEZE_BREAKOUT,FILLED,0.0
2025-11-22T05:34:06.403941,1000FLOKI/USDT,sell,3041.2214207004236,0.04483,SHORT_MOMENTUM_PUSH,FILLED,0.0
2025-11-22T05:34:06.752213,MANA/USDT,buy,732.0,0.1615,ROTATION_SACRIFICE,FILLED,0.0
2025-11-22T05:34:07.058037,CHZ/USDT,sell,4331.78173870909,0.0275,SHORT_MOMENTUM_PUSH,FILLED,0.0
2025-11-22T05:34:07.366300,1000FLOKI/USDT,buy,3041.2214207004236,0.04483,ROTATION_SACRIFICE,FILLED,0.0
2025-11-22T05:34:07.685806,FLOW/USDT,sell,582.6408388461538,0.234,SHORT_SQUEEZE_BREAKOUT,FILLED,0.0
2025-11-22T05:34:07.993168,CHZ/USDT,buy,4331.78173870909,0.0275,ROTATION_SACRIFICE,FILLED,0.0
2025-11-22T05:34:08.297660,INJ/USDT,sell,22.886454911527373,5.205,SHORT_SQUEEZE_BREAKOUT,FILLED,0.0
2025-11-22T05:34:18.030063,1000FLOKI/USDT,sell,1738.1489672652242,0.04483,SHORT_MOMENTUM_PUSH,FILLED,0.0
